Date,y,state,p_Low Vol,p_Mid Vol,p_High Vol
2020-05-11,-1.4380411014083316,2,0.0915290434502626,0.33009295769649577,0.5783779988532434
2020-05-12,-1.3436097502016446,2,0.04042938242145665,0.3480642123545872,0.6115064052239318
2020-05-13,-1.4617324935146467,2,0.14457176681283943,0.4245675788288691,0.43086065435826393
2020-05-14,-1.4167803145079478,1,0.06270967263817089,0.5630984403145085,0.3741918870473172
2020-05-15,-1.6114200935033547,1,0.20298827123446628,0.43220886183314877,0.36480286693239855
2020-05-18,-1.3993705419642817,2,0.03945567461610891,0.45623598005229676,0.5043083453316223
2020-05-19,-1.36856640046405,2,0.3147758864643386,0.3268305522112734,0.3583935613243776
2020-05-20,-1.3500989572053614,2,0.19881635256336058,0.33205311537879517,0.4691305320578485
2020-05-21,-1.343170689709134,2,0.12116901112585557,0.13136548066685466,0.7474655082072809
2020-05-22,-1.3894317626636814,2,0.0343384767907109,0.2303135712953051,0.7353479519139896
2020-05-26,-1.3650533840984702,2,0.016342629512036286,0.286971476478748,0.6966858940092338
2020-05-27,-1.476223549701227,2,0.019807370683932256,0.11419930284207526,0.8659933264740155
2020-05-28,-1.6409688475019546,2,0.030164073388984646,0.3079150275952497,0.6619208990157449
2020-05-29,-1.6478427598734189,2,0.032014265469519354,0.04918937808120961,0.9187963564492514
2020-06-01,-1.646910930652777,2,0.01701452100163434,0.04735699742483363,0.9356284815735376
2020-06-02,-1.9456379110795707,2,0.11095149191742723,0.24981360988653342,0.6392348981960335
2020-06-03,-2.0979835588586275,1,0.29554298826658343,0.4720247055544403,0.23243230617898783
2020-06-04,-2.150984549775867,1,0.2663630452332453,0.5797546952274693,0.15388225953926435
2020-06-05,-1.9908329051250593,1,0.2682566532454389,0.4618027958511569,0.269940550903425
2020-06-08,-2.014442823823934,1,0.32188888327520593,0.5143364075362709,0.16377470918855005
2020-06-09,-1.864920882339933,1,0.1994291796596273,0.5209926913135567,0.27957812902679235
2020-06-10,-1.8326591276238924,0,0.45250987504258217,0.19851393086050048,0.34897619409691155
2020-06-11,-1.0164031346257145,1,0.0687566809810516,0.793220806608074,0.13802251241085847
2020-06-12,-1.0028986891413068,1,0.29241874858451045,0.3810582432965167,0.3265230081189904
2020-06-15,-0.9959045460879713,1,0.332759957721895,0.43847929571302896,0.22876074656506878
